box,coatcolor,cohort,cued_age,epm1_age,ext01_age,lga01_age,oft1_age,pr_age,prime_age,room,sex,site,surgery_weight,tf1_age,labanimalid,rfid,lga_total_heroin_consumption,lga_escalation_of_heroin_intake_12h,lga_escalation_of_heroin_intake_1h,pr_breakpoints,prime_active,prime_extinction_before_priming_active,ext_burst,ext_day_6_active,ext_de_escalation,cued_active,epm_percent_open_1,epm_percent_open_2,epm_percent_closed_1,epm_percent_closed_2,oft_distance_1,oft_distance_2,oft_time_1,oft_time_2,tf_bl_1,tf_bl_2,tf_test_1,tf_test_2,fst_swim,fst_climb,fst_float,fst_dive,room_box,oft_distance_diff,oft_time_diff,epm_percent_closed_diff,epm_percent_open_diff,tf_bl_diff,tf_test_diff
1,ALBINO,C07italy,116,72,110,85,72,105,109,48.0,M,italy,300.0,72,IT261,933000320048087,1120.0,-100.0,-6.66666666666667,2.0,4.0,1.0,1.0,3.0,0.0,3.0,15.79,6.81333333333333,76.77,76.77,7560.604411,11473.628749,234.15,311.15,6.3,4.875,9.425,8.75,36.0,6.0,18.0,0.0,48_1,3913.0243379999993,76.99999999999997,0.0,-8.97666666666667,-1.4249999999999998,-0.6750000000000007
1,BLACKHOOD,C09italy,108,64,102,76,64,97,101,48.0,F,italy,172.0,64,IT343,933000320188376,12080.0,-1546.6666666666663,-46.66666666666667,2.0,7.0,1.0,3.0,3.0,3.0,4.0,27.366666666666667,8.26,43.02333333333333,59.12,10791.018549,7720.994653,301.8,206.95,3.2,1.85,5.85,7.574999999999999,43.0,15.0,2.0,0.0,48_1,-3070.0238960000006,-94.85000000000002,16.096666666666664,-19.10666666666667,-1.35,1.7249999999999996
8,BLACK,C13italy,114,72,108,83,72,103,107,48.0,F,italy,160.0,72,IT516,933000320500196,1200.0,20.0,-20.0,0.0,2.0,1.0,1.0,5.0,1.0,17.0,24.186666666666667,21.7,42.156666666666666,49.41666666666666,7985.380839,8747.159986,220.55,247.65,3.45,2.9000000000000004,9.675,9.05,36.0,5.0,19.0,0.0,48_8,761.7791470000002,27.099999999999994,7.259999999999991,-2.486666666666668,-0.5499999999999998,-0.625
4,BLACK,C11italy,111,68,105,80,68,100,104,48.0,F,italy,175.0,68,IT428,933000320188128,7640.0,433.33333333333326,26.666666666666657,4.0,14.0,3.0,0.0,12.0,7.0,10.0,24.55666666666667,36.50333333333333,43.73333333333333,40.91666666666666,6814.818963,9128.067378,180.9,243.65,3.0250000000000004,3.5500000000000003,4.15,8.65,49.0,5.0,6.0,0.0,48_4,2313.248415,62.75,-2.81666666666667,11.946666666666662,0.5249999999999999,4.5
4,BLACKHOOD,C07italy,115,71,109,84,71,104,108,48.0,M,italy,300.0,71,IT266,933000320048284,2180.0,-33.3333333333333,-13.3333333333333,0.0,8.0,0.0,1.0,10.0,10.0,15.0,22.1166666666667,25.6733333333333,28.4233333333333,28.4233333333333,3919.792844,6442.53815,111.2,178.85,3.025,4.15,9.2,4.525,19.0,6.0,35.0,0.0,48_4,2522.7453060000003,67.64999999999999,0.0,3.556666666666601,1.1250000000000004,-4.674999999999999
6,BROWN,C14italy,114,71,108,83,71,103,107,48.0,M,italy,322.0,71,IT553,933000320500278,11100.0,-1240.0,-33.33333333333334,6.0,7.0,3.0,0.0,0.0,-9.0,26.0,0.0,10.343333333333334,46.2,37.3,4603.585912,9273.400324,137.15,263.65,1.85,1.6749999999999998,8.575,8.675,46.0,12.0,2.0,0.0,48_6,4669.814412000001,126.49999999999996,-8.900000000000006,10.343333333333334,-0.1750000000000002,0.1000000000000014
5,BROWN,C12italy,106,63,100,75,63,95,99,48.0,M,italy,312.0,63,IT470,933000320499749,1020.0,-200.0,-13.333333333333334,2.0,0.0,3.0,1.0,3.0,1.0,6.0,2.03,0.0,81.06333333333333,52.64999999999999,9252.408291,19774.753461,265.4,494.15,2.7,1.425,6.85,8.775,33.0,1.0,26.0,0.0,48_5,10522.34517,228.75,-28.41333333333334,-2.03,-1.275,1.9250000000000007
1,BROWNHOOD,C16italy,95,51,89,64,51,84,88,48.0,M,italy,226.0,51,IT582,933000320525454,8080.0,-380.0,6.666666666666664,2.0,6.0,0.0,0.0,1.0,-1.0,14.0,27.316666666666663,19.73,35.27333333333333,47.01,3431.105923,8748.750971,94.6,256.1,2.2,3.375,10.0,8.625,,,,,48_1,5317.645047999999,161.50000000000003,11.736666666666665,-7.5866666666666625,1.1749999999999998,-1.375
1,BLACKHOOD,C12italy,108,64,102,77,64,97,101,48.0,F,italy,204.0,64,IT463,933000320499779,4200.0,-106.66666666666669,33.33333333333334,4.0,30.0,5.0,6.0,0.0,-2.0,9.0,24.313333333333333,6.6433333333333335,45.153333333333336,56.973333333333336,7904.950126,10528.918681,215.5,298.1,2.5500000000000003,2.675,6.35,9.675,21.0,7.0,32.0,0.0,48_1,2623.9685549999995,82.60000000000002,11.82,-17.669999999999998,0.1249999999999995,3.325000000000001
4,BROWNHOOD,C14italy,116,72,110,85,72,105,109,48.0,M,italy,305.0,72,IT546,933000320500276,8960.0,-13.333333333333258,133.33333333333334,6.0,4.0,4.0,2.0,7.0,-2.0,26.0,21.876666666666665,32.8,41.21,34.10333333333333,10250.809876,14723.141849,282.95,436.05,3.975,3.0,7.55,8.850000000000001,42.0,2.0,16.0,0.0,48_4,4472.331973,153.10000000000002,-7.106666666666669,10.923333333333332,-0.975,1.3000000000000016
1,BLACKHOOD,C09italy,118,72,112,86,72,107,111,46.0,F,italy,175.0,72,IT323,933000320188051,820.0,220.00000000000003,20.0,9.0,20.0,11.0,5.0,7.0,-4.0,33.0,22.23333333333333,37.45,42.62,31.8,11784.570315,8441.419176,309.35,236.35,2.4,3.975000000000001,8.325,7.699999999999999,53.0,7.0,0.0,0.0,46_1,-3343.1511390000014,-73.00000000000003,-10.819999999999997,15.216666666666672,1.575000000000001,-0.625
4,BROWN,C14italy,122,76,116,91,76,111,115,46.0,F,italy,188.0,76,IT528,933000320500380,7260.0,-393.33333333333337,20.0,4.0,4.0,4.0,0.0,8.0,5.0,15.0,51.77,9.16,28.73,57.98,13238.125953,10471.061933,330.9,259.05,3.425,3.975,8.25,10.0,44.0,13.0,3.0,0.0,46_4,-2767.06402,-71.84999999999997,29.25,-42.61,0.5500000000000003,1.75
3,ALBINO,C08italy,115,69,109,84,69,104,108,46.0,F,italy,189.0,69,IT287,933000320048958,8920.0,-73.3333333333334,40.0,4.0,1.0,2.0,3.0,1.0,-2.0,13.0,35.63333333333333,28.453333333333333,36.47,31.96,10592.200049,9604.767307,87.0,81.2,5.300000000000001,4.2,7.85,7.475,36.0,12.0,12.0,0.0,46_3,-987.432741999999,-5.799999999999997,-4.509999999999998,-7.18,-1.1000000000000003,-0.375
5,BROWNHOOD,C08italy,107,63,101,76,63,96,100,48.0,M,italy,257.0,63,IT309,933000320048408,5520.0,-153.333333333333,60.0,4.0,2.0,0.0,2.0,4.0,3.0,6.0,24.253333333333337,2.26,57.053333333333335,56.38666666666666,12124.327034,10411.206866,277.2,38.8,4.1,3.8,9.175,8.65,41.0,11.0,8.0,0.0,48_5,-1713.1201679999997,-238.4,-0.6666666666666714,-21.99333333333334,-0.2999999999999998,-0.5250000000000004
3,BLACKHOOD,C10italy,116,70,110,85,70,105,109,46.0,M,italy,290.0,70,IT365,933000320188219,4640.0,-266.66666666666674,26.66666666666667,0.0,21.0,1.0,3.0,2.0,0.0,3.0,52.09333333333333,10.996666666666666,30.67,60.93666666666667,1864.48,4623.192538,53.2,126.4,3.625,3.625,8.4,4.35,52.0,3.0,5.0,0.0,46_3,2758.712538,73.2,30.266666666666666,-41.09666666666666,0.0,-4.050000000000001
2,ALBINO,C10italy,116,70,110,85,70,105,109,46.0,M,italy,290.0,70,IT362,933000320188587,2660.0,-173.33333333333331,6.666666666666668,2.0,11.0,2.0,4.0,1.0,0.0,3.0,31.42333333333333,22.016666666666666,40.47,40.553333333333335,3869.2,1192.349255,106.9,34.5,1.65,4.15,9.675,4.625,42.0,9.0,8.0,1.0,46_2,-2676.850745,-72.4,0.0833333333333357,-9.406666666666665,2.5000000000000004,-5.050000000000001
5,BROWN,C16italy,94,52,88,63,52,83,87,48.0,F,italy,186.0,52,IT592,933000320525479,2320.0,206.66666666666663,40.00000000000001,9.0,4.0,6.0,2.0,5.0,-1.0,4.0,14.26,0.0,64.33333333333333,49.44,11047.074088,9496.555926,316.15,268.5,4.175000000000001,2.825,7.425000000000001,10.0,,,,,48_5,-1550.5181619999985,-47.64999999999998,-14.89333333333333,-14.26,-1.3500000000000003,2.575
2,BLACK,C03italy,123,77,117,91,77,112,116,46.0,F,italy,185.0,77,IT084,933000320047065,11460.0,-106.666666666667,80.0,2.0,4.0,0.0,0.0,5.0,5.0,3.0,22.2933333333333,0.0,0.0,0.0,12036.093685,6347.646299,311.1,163.5,2.5,1.875,4.225,5.125,22.0,4.0,34.0,0.0,46_2,-5688.447386,-147.60000000000002,0.0,-22.2933333333333,-0.625,0.9000000000000004
6,BLACK,C10italy,115,70,109,84,70,104,108,46.0,M,italy,305.0,70,IT374,933000320188210,2140.0,-226.66666666666669,-6.666666666666671,2.0,9.0,0.0,0.0,2.0,2.0,7.0,27.07,4.18,,80.15666666666667,7548.93,2285.702444,216.0,56.85,2.975,2.475,8.45,9.225,48.0,2.0,10.0,0.0,46_6,-5263.227556,-159.15,,-22.89,-0.5,0.7750000000000004
2,BROWN,C07italy,116,72,110,85,72,105,109,48.0,F,italy,182.0,72,IT264,933000320048085,14260.0,493.333333333333,33.3333333333333,4.0,18.0,1.0,2.0,6.0,-5.0,113.0,46.9333333333333,17.31,59.8533333333333,59.8533333333333,13373.003544,6431.040933,354.4,171.1,2.675,3.25,10.0,2.85,41.0,9.0,10.0,0.0,48_2,-6941.962610999999,-183.3,0.0,-29.623333333333303,0.5750000000000002,-7.15
8,BLACKHOOD,C12italy,113,68,107,82,68,102,106,46.0,F,italy,200.0,68,IT460,933000320499797,4320.0,-653.3333333333333,-86.66666666666666,2.0,2.0,2.0,1.0,2.0,-12.0,3.0,24.02333333333333,15.63,53.36333333333334,40.723333333333336,8764.862717,8307.98029,226.25,212.6,3.975,3.025,10.0,9.225,44.0,7.0,9.0,0.0,46_8,-456.88242700000046,-13.650000000000006,-12.64,-8.393333333333329,-0.9500000000000002,-0.7750000000000004
_1,BLACKHOOD,C10italy,107,64,101,76,64,96,100,47.0,M,italy,307.0,64,IT397,933000320188609,7860.0,206.66666666666663,100.0,6.0,3.0,3.0,2.0,7.0,7.0,6.0,5.1033333333333335,0.0,62.943333333333335,69.11666666666666,6593.22,14378.0221,202.45,363.8,2.775,5.225,9.725,4.275,44.0,3.0,13.0,0.0,47_1,7784.8021,161.35000000000002,6.173333333333325,-5.1033333333333335,2.45,-5.449999999999999
7,BLACK,C04italy,113,68,107,81,68,102,106,46.0,F,italy,158.0,68,IT139,933000320047747,15980.0,473.333333333333,46.6666666666667,20.0,3.0,0.0,1.0,9.0,3.0,36.0,21.1133333333333,10.4266666666667,44.5966666666667,44.5966666666667,10040.905795,13413.398503,267.45,348.5,1.775,2.6,6.65,4.0,36.0,2.0,22.0,0.0,46_7,3372.492708,81.05000000000001,0.0,-10.686666666666602,0.8250000000000002,-2.6500000000000004
6,BLACK,C07italy,115,72,109,84,72,104,108,48.0,M,italy,280.0,72,IT270,933000320048287,5340.0,-413.333333333333,33.3333333333333,4.0,9.0,14.0,3.0,14.0,-5.0,32.0,6.75,10.0,48.7133333333333,48.7133333333333,9123.639532,8907.976109,269.7,248.75,3.45,3.625,9.425,5.2,40.0,2.0,18.0,0.0,48_6,-215.663423,-20.94999999999999,0.0,3.25,0.1749999999999998,-4.2250000000000005
3,BROWNHOOD,C13italy,123,77,117,92,77,112,116,46.0,M,italy,280.0,77,IT485,933000320499965,2560.0,113.33333333333331,-13.333333333333334,0.0,14.0,2.0,0.0,8.0,8.0,16.0,31.973333333333333,9.5,37.35333333333333,56.443333333333335,3026.773245,9507.34533,84.25,264.4,3.2750000000000004,4.425,8.675,9.7,20.0,0.0,40.0,0.0,46_3,6480.572085,180.15,19.090000000000003,-22.473333333333333,1.1499999999999997,1.0249999999999986
8,BLACK,C10italy,107,64,101,76,64,96,100,48.0,M,italy,281.0,64,IT394,933000320188624,9380.0,460.0,33.333333333333314,4.0,4.0,20.0,4.0,5.0,-6.0,19.0,22.246666666666663,11.696666666666667,48.77333333333333,43.95666666666666,11334.53,10865.16287,332.15,310.45,3.275,3.3,8.175,8.875,36.0,7.0,17.0,0.0,48_8,-469.3671300000005,-21.69999999999999,-4.81666666666667,-10.549999999999995,0.0249999999999999,0.6999999999999993
2,BROWNHOOD,C11italy,116,71,110,85,71,105,109,46.0,M,italy,307.0,71,IT402,933000320188512,1500.0,333.3333333333333,13.333333333333332,2.0,3.0,0.0,3.0,3.0,-1.0,2.0,25.09,13.57,12.03,25.626666666666665,5848.305622,9332.139208,162.95,258.9,4.375,4.625,8.825,5.975,59.0,0.0,1.0,0.0,46_2,3483.8335860000007,95.95,13.596666666666666,-11.52,0.25,-2.85
7,BROWN,C13italy,120,76,114,89,76,109,113,46.0,M,italy,311.0,76,IT497,933000320500317,4620.0,-66.66666666666663,-26.66666666666667,4.0,6.0,3.0,3.0,7.0,-1.0,11.0,5.426666666666667,0.0,46.07333333333333,62.71666666666667,5237.620984,,153.25,,2.15,2.025,9.775,8.625,41.0,2.0,17.0,0.0,46_7,,,16.643333333333338,-5.426666666666667,-0.125,-1.1500000000000004
3,ALBINO,C14italy,122,76,116,91,76,111,115,46.0,M,italy,306.0,76,IT525,933000320500379,8640.0,266.66666666666663,126.66666666666669,4.0,12.0,7.0,6.0,32.0,18.0,45.0,30.516666666666666,25.36,33.11333333333334,21.856666666666666,9644.299026,7858.239706,264.95,226.25,2.875,4.875,8.0,7.375,42.0,10.0,8.0,0.0,46_3,-1786.0593200000003,-38.69999999999999,-11.256666666666671,-5.156666666666666,2.0,-0.625
1,BROWN,C07italy,113,70,107,82,70,102,106,47.0,M,italy,288.0,70,IT277,933000320048662,1600.0,40.0,46.6666666666667,4.0,5.0,3.0,2.0,0.0,-3.0,2.0,16.9166666666667,14.0933333333333,38.6633333333333,38.6633333333333,3101.203608,6718.670107,94.35,184.95,3.125,3.35,9.875,5.2,43.0,5.0,12.0,0.0,47_1,3617.466499,90.6,0.0,-2.8233333333334,0.2250000000000001,-4.675
1,BROWNHOOD,C06italy,120,75,114,89,75,110,113,48.0,M,italy,291.0,75,IT217,933000320187440,3240.0,453.333333333333,40.0,0.0,3.0,3.0,1.0,16.0,15.0,19.0,12.87,20.1266666666667,32.7533333333333,32.7533333333333,7994.098872,12558.725562,237.55,331.95,3.175,3.625,7.65,6.75,38.0,6.0,16.0,0.0,48_1,4564.62669,94.39999999999998,0.0,7.256666666666701,0.4500000000000002,-0.9000000000000004
2,ALBINO,C13italy,116,73,110,85,73,105,109,48.0,F,italy,163.0,73,IT504,933000320500123,4860.0,-53.33333333333337,-39.99999999999999,2.0,5.0,3.0,1.0,3.0,-8.0,23.0,16.696666666666665,9.043333333333331,59.193333333333335,42.29,10281.17468,8678.306604,269.15,245.45,0.875,3.075,9.775,7.75,43.0,4.0,13.0,0.0,48_2,-1602.8680760000009,-23.69999999999999,-16.903333333333336,-7.653333333333334,2.2,-2.0250000000000004
1,BLACK,C04italy,111,67,105,79,67,100,104,48.0,F,italy,157.0,67,IT143,933000320047746,13240.0,360.0,80.0,6.0,8.0,2.0,1.0,3.0,-2.0,9.0,34.79,15.08,24.1266666666667,24.1266666666667,5159.481157,8100.878331,153.25,227.05,2.5,1.825,7.6,4.0,22.0,5.0,33.0,0.0,48_1,2941.397174,73.80000000000001,0.0,-19.71,-0.675,-3.6
6,BROWN,C06italy,115,71,109,84,71,105,108,48.0,M,italy,260.0,71,IT226,933000320187380,6720.0,-400.0,53.3333333333333,2.0,6.0,8.0,0.0,8.0,7.0,20.0,25.46,53.98,24.3466666666667,24.3466666666667,8382.536518,5608.376299,242.55,163.05,2.45,4.025,6.6,9.15,28.0,0.0,32.0,0.0,48_6,-2774.160219000001,-79.5,0.0,28.52,1.5750000000000002,2.5500000000000007
1,ALBINO,C14italy,118,74,112,87,74,107,111,48.0,F,italy,200.0,74,IT543,933000320500294,3460.0,213.3333333333333,6.666666666666668,0.0,0.0,1.0,1.0,2.0,0.0,16.0,50.59333333333333,35.88666666666666,31.81,50.77666666666667,9937.526333,10706.786277,262.7,273.95,0.825,3.75,9.25,10.0,48.0,2.0,10.0,0.0,48_1,769.2599439999995,11.25,18.966666666666672,-14.706666666666663,2.925,0.75
6,BROWN,C07italy,121,76,115,90,76,110,114,46.0,F,italy,187.0,76,IT256,933000320048117,2200.0,320.0,40.0,2.0,0.0,5.0,10.0,8.0,8.0,17.0,41.3466666666667,33.5333333333333,39.75,39.75,7840.685374,9195.006448,228.7,250.95,3.075,2.5,6.475,3.525,32.0,5.0,23.0,0.0,46_6,1354.3210740000004,22.25,0.0,-7.813333333333396,-0.5750000000000002,-2.95
4,ALBINO,C11italy,116,71,110,85,71,105,109,46.0,F,italy,203.0,71,IT408,933000320188501,13120.0,-773.3333333333333,-140.0,4.0,1.0,3.0,9.0,7.0,1.0,10.0,19.383333333333333,20.966666666666665,41.95666666666666,35.15,9946.14958,8369.950706,276.35,219.3,3.4750000000000005,4.375,8.25,4.25,55.0,2.0,3.0,0.0,46_4,-1576.1988739999997,-57.05000000000001,-6.806666666666665,1.583333333333332,0.8999999999999995,-4.0
7,BROWNHOOD,C11italy,115,71,109,84,71,104,108,46.0,F,italy,187.0,71,IT419,933000320188136,4320.0,-100.00000000000006,6.666666666666686,6.0,6.0,5.0,4.0,4.0,-5.0,4.0,32.49666666666667,34.64333333333333,47.44333333333334,50.76666666666667,7665.142713,7197.46503,209.95,185.0,2.825,1.55,8.2,9.525,57.0,2.0,1.0,0.0,46_7,-467.6776829999999,-24.94999999999999,3.3233333333333306,2.146666666666661,-1.275,1.325000000000001
2,ALBINO,C08italy,115,69,109,84,69,104,108,46.0,F,italy,179.0,69,IT284,933000320048993,4520.0,126.666666666667,13.3333333333333,4.0,10.0,1.0,4.0,4.0,-4.0,14.0,24.61,16.85333333333333,51.49666666666667,58.41333333333333,9255.111929,5455.203898,54.3,20.05,6.925,5.05,9.475,6.15,56.0,0.0,4.0,0.0,46_2,-3799.908031000001,-34.25,6.916666666666657,-7.756666666666668,-1.875,-3.325
